rank,frequency,log(r),log(f)
308,245,2.4885507165004443,2.3891660843645326
309,242,2.4899584794248346,2.383815365980431
310,242,2.4913616938342726,2.383815365980431
311,242,2.4927603890268375,2.383815365980431
312,241,2.494154594018443,2.3820170425748683
313,241,2.4955443375464483,2.3820170425748683
314,238,2.496929648073215,2.376576957056512
315,237,2.4983105537896004,2.374748346010104
316,237,2.499687082618404,2.374748346010104
317,237,2.5010592622177517,2.374748346010104
318,235,2.5024271199844326,2.3710678622717363
319,235,2.503790683057181,2.3710678622717363
320,235,2.505149978319906,2.3710678622717363
321,234,2.506505032404872,2.369215857410143
322,233,2.507855871695831,2.367355921026019
323,233,2.509202522331103,2.367355921026019
324,233,2.510545010206612,2.367355921026019
325,232,2.5118833609788744,2.3654879848909
326,231,2.513217600067939,2.3636119798921444
327,231,2.514547752660286,2.3636119798921444
328,230,2.515873843711679,2.361727836017593
329,228,2.5171958979499744,2.357934847000454
330,228,2.5185139398778875,2.357934847000454
331,227,2.519827993775719,2.3560258571931225
332,227,2.5211380837040362,2.3560258571931225
333,226,2.5224442335063197,2.3541084391474008
334,225,2.5237464668115646,2.3521825181113627
335,225,2.525044807036845,2.3521825181113627
336,224,2.526339277389844,2.3502480183341627
337,222,2.5276299008713385,2.346352974450639
338,222,2.5289167002776547,2.346352974450639
339,222,2.530199698203082,2.346352974450639
340,221,2.531478917042255,2.3443922736851106
341,221,2.5327543789924976,2.3443922736851106
342,221,2.534026106056135,2.3443922736851106
343,221,2.5352941200427703,2.3443922736851106
344,220,2.53655844257153,2.342422680822206
345,219,2.537819095073274,2.3404441148401185
346,219,2.5390760987927767,2.3404441148401185
347,217,2.5403294747908736,2.3364597338485296
348,216,2.5415792439465807,2.3344537511509307
349,216,2.5428254269591797,2.3344537511509307
350,216,2.5440680443502757,2.3344537511509307
351,215,2.545307116465824,2.3324384599156054
352,215,2.546542663478131,2.3324384599156054
353,215,2.5477747053878224,2.3324384599156054
354,215,2.5490032620257876,2.3324384599156054
355,215,2.550228353055094,2.3324384599156054
356,214,2.5514499979728753,2.330413773349191
357,213,2.552668216112193,2.3283796034387376
358,213,2.5538830266438746,2.3283796034387376
359,213,2.5550944485783194,2.3283796034387376
